id,tournament_name,tournament_location,start_date,end_date,event_list,contact_name,contact_email,contact_phone
1,CAPA TOURNY,CAPA TOURNY,2025-12-20,2025-12-24,;event1;coolevent2;kritos_favorite_event,Kristófer Kristjan Erlendsson,email@gmail.com,787-2550,
2,kristostourny,hr 4,2025-12-12,2025-12-16,None,kristo krif kefi,kristo@gmail.com,7872550,
3,kristotourny,hr 29,2025-12-20,2025-12-25,None,kri irg gji,kekf@gmail.com,7872550,
5,Barcelona,ugu4gb 3,2006-03-03,2007-03-03,None,Jermias Borjas,hahfh@gmail.com,659-2893,
6,Viktorwha,Hfanarbraut 14,2000-03-03,2025-03-03,None,Jeremias Borajas,jeremias@gmail.com,659-2839,
7,Jeeremiastourna,Hfanrabtu 14,2006-05-03,2008-04-22,None,JEremias Borjas,jeremias@gmial.com,659-2893,
8,Club,Hafnarbaut,2006-03-03,2006-03-07,None,Jermais Borjas,jermais@gmail.com,659-2893,
9,Sophie,Hafnrab,2006-03-03,2007-03-03,None;Jeremias,Jrermias Bojras,jjeg@gmail.com,659-2893,
10,Sophia,Hafnara,2006-03-03,2007-03-03,;Cookies,Jermais Borjas,jermias@gmial.com,659-2893,
11,Sophie,Hafnarbtu,2006-03-03,2006-04-03,;Jeremias,Jeremias Borjas,jermeias@gmial.com,659-2893,
12,Ballon,Hafnarbraut14,2006-03-03,2007-03-03,,Jeramis Borjas,jermias@gmail.com,659-2893,
