id,name,phone,address,dob,email,handle,team
1,Viktor Yngvi Ísaksson,849-0000,blönduhlíð 20,2004-09-26,viktor@gmail.com,vikkmanefefij,None,
2,Viktor Yngvi Ísaksson,849-0000,blönduhlíð 20,2004-09-26,viktor@gmail.com,vikkman3jnf,None,
3,Sam Segfault,611-0001,Studentagata 1 Reykjavik,2003-04-12,leeeeeeeeeeeeeeeeeeeeeerrrroyyyyyyyyyyyyyyyy@gmail.com,segfaultsam,None,
4,Sara Stacksmash,611-0021,Studentagata 2 Reykjavik,2004-09-23,stacksmash.sara@example.com,stacksmashsara,None,
5,Karl Coredump,611-6734,Kennarabraut 1 Reykjavik,2003-11-30,frida.fencepost@example.com,VoidStarVal,None,
6,Ian Index,845-7755,LANgata 2 Reykjavik,2003-05-05,palli.pepsi@example.com,ChuckNorrisMain,None,
7,Steini SpinKick,666-9999,Pythonvegur 3 Reykjavik,2005-09-27,nora.norris@example.com,MovAxMaria,None,
8,Tora TwoComp,552-8953,Turnhut 2 Reykjavik,2005-09-24,steini.spinkick@example.com,JumpIfCarryJon,None,
9,Gunnar Gdb,999-4321,Bomblabstigur 2 Reykjavik,2003-06-06,mia.mask@example.com,L1CacheLara,None,
10,María García,555-1234,Breiðlón 15 Reykjavik,2002-03-18,maria.garcia@example.com,MariaG,lið núúúúúmer 3,
11,Jón Einarsson,111-1111,Hjarðaland 9,2001-07-22,jon.einarsson@example.com,jonwin,lið núúúúúmer 3,
12,Sóla Sævarsdóttir,556-3456,Sundlaugarvegur 10 Selfoss,2003-12-05,sola.saevar@example.com,solasun,lið núúúúúmer 3,
13,Benedikt Berg,557-4567,Bergstaðir 5 Borgarnes,2004-01-14,benedikt.berg@example.com,BennyMountain,None,
14,Eva Eggertsdóttir,558-5678,Eggvegur 12 Mosfellsbær,2002-08-30,eva.eggerts@example.com,eggdancer,vikk tor,
15,Davíð Daníelsson,559-6789,Dánarstaðir 7 Hveragerði,2005-02-11,viktoriuei@gmail.com,daviddream,None,
16,Ragnhildur Race,663-7833,Fizzgata 3 Reykjavik,2005-03-29,ulfar.ub@example.com,UBUnitedUlfar,lið núúúúúmer 3,
17,Kristján Kris,664-8844,Kristjansgata 4 Hafnarfjörður,2001-10-16,kristjan.kris@example.com,KristalKing,None,
18,Sonja Sorter,665-9955,Sortgata 5 Kópavogur,2002-11-09,sonja.sorter@example.com,SortaSonja,None,
19,Pétur Pointer,666-1122,Pointergata 6 Mosfellsbær,2004-05-13,petur.pointer@example.com,PeterPointer,None,
20,Úlfur Upload,667-2233,Uploadsvegur 7 Gardabær,2003-09-21,ulfur.upload@example.com,UlfurUp,None,
21,Vanda Vóf,668-3344,Vófvegur 8 Seltjarnarnes,2005-01-08,vanda.vof@example.com,VandaV,vikk tor,
22,Xenon Xor,669-4455,Xorgata 9 Reykjavik,2002-12-17,xenon.xor@example.com,XenonX,lið núúúúúmer 3,
23,Yrsa Ylur,670-5566,Ylurgata 10 Akranes,2001-04-25,yrsa.ylur@example.com,YrsaY,vikk tor,
24,Zhao Zero,671-6677,Zerogata 11 Selfoss,2003-08-19,zhao.zero@example.com,ZhaoZ,None,
